id,pop,coverage,f435w_use,f606w_use,f814w_use,f105w_use,f125w_use,f140w_use,f160w_use
443,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
744,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
768,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
848,SF,poor,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1049,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1099,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1226,SF,poor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1275,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1343,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1778,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1956,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2008,SF,poor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2091,SF,poor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2172,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2188,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2201,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2293,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2521,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2529,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2727,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2895,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2917,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2950,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2982,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2989,Q,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3178,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3341,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3364,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3368,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3398,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3494,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3669,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3775,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3788,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3821,SF,poor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3823,SF,poor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3884,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3910,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4008,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4285,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4332,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4387,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4404,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4418,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4435,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4458,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4460,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4513,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4882,Q,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4902,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5162,Q,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
20004,SF,,,,,,,,
20005,SF,,,,,,,,
