id,pop,coverage,f435w_use,f606w_use,f814w_use,f105w_use,f125w_use,f140w_use,f160w_use
685,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1057,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1149,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1466,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1618,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1790,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1957,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2181,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2202,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2319,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2457,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2521,SF,poor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2529,SF,poor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2590,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2617,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2711,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2788,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2797,SF,fair,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
2975,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2998,Q,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3001,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3052,Q,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3219,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3396,Q,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3593,Q,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3781,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3800,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3824,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3936,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4015,Q,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4159,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4208,Q,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4542,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4553,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4707,SF,ideal,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
4760,SF,ideal,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
4793,SF,ideal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4922,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4946,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5042,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5073,SF,ideal,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
5104,SF,fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5123,SF,poor,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
5143,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5162,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5207,SF,fair,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
5208,SF,fair,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
5254,SF,fair,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
5284,SF,fair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
20001,SF,,,,,,,,
20002,SF,,,,,,,,
20006,SF,,,,,,,,
