cluster,ID,bins,server,done?
a370,1328,14,,
a370,1424,12,,
a370,1661,6,,
a370,1941,3,,
a370,2052,4,,
a370,2256,9,,
a370,2368,22,,
a370,2464,16,,
a370,2486,4,,
a370,2590,8,,
a370,2699,4,,
a370,2729,3,,
a370,2845,11,,
a370,2883,8,,
a370,2921,5,,
a370,2925,11,,
a370,2960,16,,
a370,2961,7,,
a370,3057,11,,
a370,3089,6,,
a370,3121,5,,
a370,3298,7,,
a370,3326,11,,
a370,3337,6,astro,yes
a370,3445,7,,
a370,3512,8,,
a370,3643,10,,
a370,3682,11,,
a370,3708,7,,
a370,3767,6,,
a370,3818,12,,
a370,3826,13,,
a370,3900,6,,
a370,4017,10,,
a370,4026,4,,
a370,4094,21,,
a370,4107,11,,
a370,4151,18,,
a370,4194,15,,
a370,4259,13,,
a370,4471,16,,
a370,4706,10,,
a370,4791,15,,
a370,4903,10,,
a370,4966,15,,
a370,4976,12,,
a370,5010,29,,
a370,5069,11,,
a370,5168,14,,
a370,5177,9,,
a370,5178,16,,
a370,5319,17,,
a370,6080,11,,
a1063,1366,4,astro,yes
a1063,1753,2,,
a1063,1783,4,,
a1063,1873,8,,
a1063,2189,3,,
a1063,2352,5,,
a1063,2419,2,,
a1063,2433,3,,
a1063,2455,7,astro,yes
a1063,2496,5,,
a1063,2601,1,,
a1063,2710,4,,
a1063,2798,7,,
a1063,2847,5,,
a1063,2892,4,,
a1063,2959,1,,
a1063,3132,3,,
a1063,3202,6,,
a1063,3221,1,,
a1063,3298,10,,
a1063,3312,1,,
a1063,3476,5,,
a1063,3486,1,,
a1063,3513,4,,
a1063,3532,2,,
a1063,3550,3,quixote,yes
a1063,3563,7,,
a1063,3679,9,,
a1063,3727,4,,
a1063,3833,3,,
a1063,3971,4,,
a1063,4377,1,,
a1063,4475,1,,
a1063,4562,5,,
a1063,4579,3,,
a1063,4707,4,,
a1063,4823,4,quixote,yes
a1063,4878,4,,
a1063,5006,4,,
a1063,5021,4,,
a1063,5083,1,,
a1063,5088,2,,
a1063,5149,3,,
a1063,5156,5,,
a1063,5234,2,,
a1063,5248,3,,
a1063,5255,2,,
a1063,5333,5,,
a1063,5771,4,,
a1063,5834,3,,
a1063,6037,4,,
a1063,6097,10,,
a1063,6747,37,,
a2744,1077,16,,
a2744,1446,3,,
a2744,1608,5,,
a2744,2073,24,,
a2744,2074,7,,
a2744,2091,3,,
a2744,2230,8,,
a2744,2262,3,,
a2744,2318,9,,
a2744,2324,7,,
a2744,2351,7,,
a2744,2478,6,,
a2744,2604,4,,
a2744,2680,6,,
a2744,2773,9,,
a2744,2786,3,,
a2744,2844,4,,
a2744,3024,4,,
a2744,3265,6,,
a2744,3423,5,,
a2744,3620,9,,
a2744,3706,10,,
a2744,3733,3,,
a2744,3853,6,,
a2744,3854,7,,
a2744,3858,2,,
a2744,3859,5,quixote,yes
a2744,3861,3,,
a2744,3863,3,,
a2744,3870,8,,
a2744,3892,1,,
a2744,3964,7,both,yes
a2744,3980,2,,
a2744,3986,5,,
a2744,3997,4,,
a2744,4147,4,,
a2744,4165,16,,
a2744,4173,6,astro,yes
a2744,4216,10,,
a2744,4232,9,,
a2744,4319,4,,
a2744,4321,4,,
a2744,4369,6,astro,yes
a2744,4505,5,,
a2744,4563,2,,
a2744,4571,6,,
a2744,4655,1,,
a2744,4725,10,,
a2744,4765,10,both,yes
a2744,4862,8,astro,yes
a2744,4912,6,,
a2744,4973,5,,
a2744,4987,5,,
a2744,5079,5,,
a2744,5233,3,,
a2744,5260,2,,
a2744,5662,2,,
a2744,5664,3,,
a2744,5765,5,,
a2744,5830,31,,
a2744,5934,4,,
a2744,5984,13,,
a2744,6110,19,,
a2744,6486,4,,
a2744,6509,8,,
a2744,6646,3,,
a2744,6727,3,,
a2744,6812,14,,
a2744,6813,5,,
a2744,6824,6,,
a2744,6859,12,,
a2744,6861,4,,
a2744,6938,5,,
a2744,6966,4,,
a2744,7059,5,,
a2744,7381,12,,
a2744,7427,7,quixote,yes
a2744,7497,11,,
a2744,7750,13,,
m416,990,13,,
m416,1639,7,,
m416,1918,11,,
m416,2122,8,,
m416,2160,9,,
m416,2299,7,,
m416,2372,7,,
m416,2430,12,,
m416,2452,10,,
m416,2876,8,,
m416,2990,5,,
m416,3167,13,,
m416,3224,6,,
m416,3533,9,,
m416,3541,14,,
m416,3577,11,,
m416,3594,17,,
m416,3638,5,,
m416,3705,9,,
m416,3742,4,,
m416,3945,7,,
m416,4030,6,,
m416,4183,14,,
m416,4321,11,,
m416,4369,6,,
m416,4417,12,,
m416,4771,10,,
m416,4785,7,,
m416,4797,9,,
m416,4864,4,,
m416,4883,15,,
m416,4949,9,,
m416,5036,7,,
m416,5067,14,,
m416,5405,11,,
m416,5413,4,,
m416,5423,14,,
m416,5607,7,,
m416,5666,10,,
m416,5704,5,,
m416,5819,11,,
m416,5997,8,astro,yes
m416,6172,15,,
m416,6255,8,astro,yes
m416,6511,7,,
m416,6585,16,,
m416,6680,14,,
m416,6959,12,,
m416,6960,27,,
m416,7028,19,,
m416,7055,15,,
m717,861,6,quixote,yes
m717,1043,9,,
